ingredient,vegetarian,vegan,dairy_free,gluten_free
hot sauce,yes,yes,yes,yes
red pepper flakes,yes,yes,yes,yes
cinnamon sticks,yes,yes,yes,yes
red chili peppers,yes,yes,yes,yes
bacon,no,no,yes,yes
whipping cream,yes,no,no,yes
boneless skinless chicken breast halves,no,no,yes,yes
peanut oil,yes,yes,yes,yes
ground nutmeg,yes,yes,yes,yes
clove,yes,yes,yes,yes
parmesan cheese,yes,no,no,yes
dried basil,yes,yes,yes,yes
peeled fresh ginger,yes,yes,yes,yes
mushrooms,yes,yes,yes,yes
coarse salt,yes,yes,yes,yes
warm water,yes,yes,yes,yes
large egg yolks,yes,no,yes,yes
balsamic vinegar,yes,yes,yes,yes
celery ribs,yes,yes,yes,yes
cream cheese,yes,no,no,yes
white vinegar,yes,yes,yes,yes
egg yolks,yes,no,yes,yes
capers,yes,yes,yes,yes
ground red pepper,yes,yes,yes,yes
onion powder,yes,yes,yes,yes
dijon mustard,yes,yes,yes,yes
rice,yes,yes,yes,yes
cold water,yes,yes,yes,yes
crushed red pepper flakes,yes,yes,yes,yes
mirin,yes,yes,yes,yes
fresh basil leaves,yes,yes,yes,yes
eggplant,yes,yes,yes,yes
powdered sugar,yes,yes,yes,yes
large egg whites,yes,no,yes,yes
cooking oil,yes,yes,yes,yes
lime wedges,yes,yes,yes,yes
shredded mozzarella cheese,yes,no,no,yes
ground pork,no,no,yes,yes
fat free less sodium chicken broth,no,no,yes,yes
sliced green onions,yes,yes,yes,yes
cayenne,yes,yes,yes,yes
mozzarella cheese,yes,no,no,yes
medium shrimp,no,no,yes,yes
raisins,yes,yes,yes,yes
red pepper,yes,yes,yes,yes
coriander,yes,yes,yes,yes
finely chopped onion,yes,yes,yes,yes
sweet potatoes,yes,yes,yes,yes
oyster sauce,no,no,yes,no
beansprouts,yes,yes,yes,yes
black peppercorns,yes,yes,yes,yes
egg whites,yes,no,yes,yes
crushed tomatoes,yes,yes,yes,yes
cheese,yes,no,yes,yes
fresh rosemary,yes,yes,yes,yes
oregano,yes,yes,yes,yes
white pepper,yes,yes,yes,yes
cherry tomatoes,yes,yes,yes,yes
leeks,yes,yes,yes,yes
ketchup,yes,yes,yes,yes
hoisin sauce,yes,yes,yes,no
chopped celery,yes,yes,yes,yes
low sodium soy sauce,yes,yes,yes,no
cheddar cheese,yes,no,no,yes
light brown sugar,yes,yes,yes,yes
fresh mint,yes,yes,yes,yes
cabbage,yes,yes,yes,yes
large shrimp,no,no,yes,yes
vegetable broth,yes,yes,yes,yes
cracked black pepper,yes,yes,yes,yes
spring onions,yes,yes,yes,yes
peanuts,yes,yes,yes,yes
chickpeas,yes,yes,yes,yes
coriander seeds,yes,yes,yes,yes
italian seasoning,yes,yes,yes,yes
confectioners sugar,yes,yes,yes,yes
fresh oregano,yes,yes,yes,yes
lean ground beef,yes,no,yes,yes
cooked rice,yes,yes,yes,yes
bell pepper,yes,yes,yes,yes
ground pepper,yes,yes,yes,yes
low salt chicken broth,no,no,yes,yes
frozen peas,yes,yes,yes,yes
beef broth,no,no,yes,yes
active dry yeast,yes,yes,yes,yes
cajun seasoning,yes,yes,yes,yes
chopped fresh thyme,yes,yes,yes,yes
green pepper,yes,yes,yes,yes
ground cloves,yes,yes,yes,yes
cornmeal,yes,yes,yes,yes
white wine,yes,yes,yes,yes
spinach,yes,yes,yes,yes
ground allspice,yes,yes,yes,yes
plain yogurt,yes,no,no,yes
lemongrass,yes,yes,yes,yes
thyme,yes,yes,yes,yes
feta cheese crumbles,yes,no,no,yes
hot water,yes,yes,yes,yes
orange,yes,yes,yes,yes
toasted sesame oil,yes,yes,yes,yes
long-grain rice,yes,yes,yes,yes
parmigiano reggiano cheese,yes,no,no,yes
white wine vinegar,yes,yes,yes,yes
ricotta cheese,yes,no,no,yes
fennel seeds,yes,yes,yes,yes
boiling water,yes,yes,yes,yes
pinenuts,yes,yes,yes,yes
cider vinegar,yes,yes,yes,yes
ground white pepper,yes,yes,yes,yes
light soy sauce,yes,yes,yes,yes
chopped garlic,yes,yes,yes,yes
smoked paprika,yes,yes,yes,yes
parsley,yes,yes,yes,yes
sake,yes,yes,yes,yes
fresh thyme,yes,yes,yes,yes
boneless chicken skinless thigh,yes,no,yes,yes
grated lemon zest,no,yes,yes,yes
spaghetti,yes,yes,yes,yes
green beans,yes,yes,yes,yes
yellow corn meal,yes,yes,yes,yes
chile pepper,yes,yes,yes,yes
low sodium chicken broth,no,no,yes,yes
orange juice,yes,yes,yes,yes
fresh ginger root,yes,yes,yes,yes
half & half,yes,no,no,yes
sweet onion,yes,yes,yes,yes
chicken thighs,no,no,yes,yes
chopped parsley,yes,yes,yes,yes
shiitake,yes,yes,yes,yes
corn,yes,yes,yes,yes
basmati rice,yes,yes,yes,yes
tomatillos,yes,yes,yes,yes
chiles,yes,yes,yes,yes
pasta,yes,yes,yes,no
dark brown sugar,yes,yes,yes,yes
chopped fresh mint,yes,yes,yes,yes
vinegar,yes,yes,yes,yes
shredded monterey jack cheese,yes,no,no,yes
mustard seeds,yes,yes,yes,yes
dark soy sauce,yes,yes,yes,no
vanilla,yes,yes,yes,yes
dry red wine,yes,yes,yes,yes
ghee,yes,no,no,yes
hot pepper sauce,yes,yes,yes,yes
bread crumbs,yes,no,yes,no
green chile,yes,yes,yes,yes
tortilla chips,yes,yes,yes,yes
pork,no,no,yes,yes
serrano chile,yes,yes,yes,yes
sriracha,yes,yes,yes,yes
chopped tomatoes,yes,yes,yes,yes
cooked chicken,no,no,yes,yes
enchilada sauce,yes,yes,yes,yes
toasted sesame seeds,yes,yes,yes,yes
arborio rice,yes,yes,yes,yes
yellow bell pepper,yes,yes,yes,yes
dry bread crumbs,yes,no,yes,no
fresh parmesan cheese,yes,no,no,yes
fine sea salt,yes,yes,yes,yes
fresh coriander,yes,yes,yes,yes
prosciutto,no,no,yes,yes
basil,yes,yes,yes,yes
chopped pecans,yes,yes,yes,yes
garlic paste,yes,yes,yes,yes
radishes,yes,yes,yes,yes
corn kernels,yes,yes,yes,yes
juice,yes,yes,yes,yes
long grain white rice,yes,yes,yes,yes
saffron threads,yes,yes,yes,yes
melted butter,yes,no,no,yes
creole seasoning,yes,yes,yes,yes
beef,no,no,yes,yes
fresh mushrooms,yes,yes,yes,yes
taco seasoning,yes,yes,yes,yes
sweetened condensed milk,yes,no,no,yes
romaine lettuce,yes,yes,yes,yes
baguette,yes,yes,yes,no
chopped green bell pepper,yes,yes,yes,yes
feta cheese,yes,no,no,yes
mango,yes,yes,yes,yes
apple cider vinegar,yes,yes,yes,yes
okra,yes,yes,yes,yes
andouille sausage,no,no,yes,yes
basil leaves,yes,yes,yes,yes
russet potatoes,yes,yes,yes,yes
pasta sauce,yes,yes,yes,yes
unsweetened cocoa powder,yes,yes,yes,yes
shaoxing wine,yes,yes,yes,yes
mint leaves,yes,yes,yes,yes
peaches,yes,yes,yes,yes
rice noodles,yes,yes,yes,yes
vegetable oil cooking spray,yes,yes,yes,yes
star anise,yes,yes,yes,yes
flank steak,no,no,yes,yes
cream,yes,no,no,yes
baby spinach,yes,yes,yes,yes
dry sherry,yes,yes,yes,yes
chinese five-spice powder,yes,yes,yes,yes
refried beans,yes,yes,yes,yes
lemon zest,yes,yes,yes,yes
linguine,yes,yes,yes,no
white rice,yes,yes,yes,yes
yoghurt,yes,no,no,yes
coriander powder,yes,yes,yes,yes
sliced mushrooms,yes,yes,yes,yes
fresh dill,yes,yes,yes,yes
diced onions,yes,yes,yes,yes
golden raisins,yes,yes,yes,yes
garlic salt,yes,yes,yes,yes
roasted red peppers,yes,yes,yes,yes
ground cardamom,yes,yes,yes,yes
nutmeg,yes,yes,yes,yes
monterey jack,yes,no,yes,yes
grated nutmeg,yes,yes,yes,yes
greek yogurt,yes,no,yes,yes
fresh spinach,yes,yes,yes,yes
asparagus,yes,yes,yes,yes
marinara sauce,yes,yes,yes,yes
black olives,yes,yes,yes,yes
shortening,yes,yes,yes,yes
red wine,yes,yes,yes,yes
pork tenderloin,no,no,yes,yes
grape tomatoes,yes,yes,yes,yes
part-skim mozzarella cheese,yes,no,no,yes
roma tomatoes,yes,yes,yes,yes
chopped fresh chives,yes,yes,yes,yes
napa cabbage,yes,yes,yes,yes
noodles,yes,yes,yes,sometimes
lemon wedge,yes,yes,yes,yes
bananas,yes,yes,yes,yes
thai chile,yes,yes,yes,yes
ham,no,no,yes,yes
tortillas,yes,yes,yes,sometimes
coconut oil,yes,yes,yes,yes
cauliflower,yes,yes,yes,yes
rice wine,yes,yes,yes,yes
red chili powder,yes,yes,yes,yes
margarine,yes,no,no,yes
broccoli,yes,yes,yes,yes
strawberries,yes,yes,yes,yes
curry leaves,yes,yes,yes,yes
cashew nuts,yes,yes,yes,yes
yukon gold potatoes,yes,yes,yes,yes
tomato purée,yes,yes,yes,yes
heavy whipping cream,yes,yes,no,yes
cilantro sprigs,yes,yes,yes,yes
salt and ground black pepper,yes,yes,yes,yes
bacon slices,no,no,yes,yes
green peas,yes,yes,yes,yes
lasagna noodles,yes,yes,yes,no
fresh orange juice,yes,yes,yes,yes
thyme sprigs,yes,yes,yes,yes
green cabbage,yes,yes,yes,yes
evaporated milk,yes,no,no,yes
firm tofu,yes,yes,yes,yes
baking potatoes,yes,yes,yes,yes
chives,yes,yes,yes,yes
frozen chopped spinach,yes,yes,yes,yes
saffron,yes,yes,yes,yes
red potato,yes,yes,yes,yes
fennel bulb,yes,yes,yes,yes
pitted kalamata olives,yes,yes,yes,yes
cannellini beans,yes,yes,yes,yes
beer,yes,yes,yes,yes
brown rice,yes,yes,yes,yes
dark sesame oil,yes,yes,yes,yes
bourbon whiskey,yes,yes,yes,yes
minced ginger,yes,yes,yes,yes
vegetables,yes,yes,yes,yes
black-eyed peas,yes,yes,yes,yes
kalamata,yes,yes,yes,yes
water chestnuts,yes,yes,yes,yes
almonds,yes,yes,yes,yes
chipotles in adobo,yes,yes,yes,yes
self rising flour,yes,yes,yes,no
bread flour,yes,yes,yes,no
peas,yes,yes,yes,yes
1% low-fat milk,yes,no,no,yes
french bread,yes,yes,yes,no
vegetable stock,yes,yes,yes,yes
unsweetened coconut milk,yes,yes,yes,yes
fresh thyme leaves,yes,yes,yes,yes
broccoli florets,yes,yes,yes,yes
lettuce leaves,yes,yes,yes,yes
anchovy fillets,no,no,yes,yes
minced onion,yes,yes,yes,yes
english cucumber,yes,yes,yes,yes
couscous,yes,yes,yes,no
chili,yes,?,yes,yes
sliced almonds,yes,yes,yes,yes
guacamole,yes,yes,yes,yes
sausages,no,no,yes,yes
tabasco pepper sauce,yes,yes,yes,yes
grits,yes,yes,yes,yes
reduced sodium chicken broth,no,no,yes,yes
snow peas,yes,yes,yes,yes
lettuce,yes,yes,yes,yes
taco seasoning mix,yes,yes,yes,yes
grated lemon peel,yes,yes,yes,yes
cake flour,yes,yes,yes,no
whole wheat flour,yes,yes,yes,no
all purpose unbleached flour,yes,yes,yes,no
thai basil,yes,yes,yes,yes
coconut,yes,yes,yes,yes
penne pasta,yes,yes,yes,no
green olives,yes,yes,yes,yes
pancetta,yes,no,yes,yes
arugula,yes,yes,yes,yes
bread,yes,sometimes,yes,no
stewed tomatoes,yes,yes,yes,yes
frozen corn,yes,yes,yes,yes
mussels,yes,no,yes,yes
shredded lettuce,yes,yes,yes,yes
butternut squash,yes,yes,yes,yes
mexican cheese blend,yes,no,no,yes
almond extract,yes,yes,yes,yes
dried rosemary,yes,yes,yes,yes
pinto beans,yes,yes,yes,yes
spices,yes,yes,yes,yes
hot red pepper flakes,yes,yes,yes,yes
bread crumb fresh,yes,yes,yes,no
dried parsley,yes,yes,yes,yes
goat cheese,yes,no,no,yes
brandy,yes,yes,yes,yes
pure vanilla extract,yes,yes,yes,yes
ground turkey,no,no,yes,yes
vanilla beans,yes,yes,yes,yes
collard greens,yes,yes,yes,yes
slivered almonds,yes,yes,yes,yes
shredded sharp cheddar cheese,yes,no,no,yes
apples,yes,yes,yes,yes
provolone cheese,yes,no,no,yes
iceberg lettuce,yes,yes,yes,yes
semisweet chocolate,yes,no,no,yes
ice water,yes,yes,yes,yes
button mushrooms,yes,yes,yes,yes
mint,yes,yes,yes,yes
sun-dried tomatoes,yes,yes,yes,yes
sliced black olives,yes,yes,yes,yes
beef stock,no,no,yes,yes
sherry vinegar,yes,yes,yes,yes
salmon fillets,no,no,yes,yes
light corn syrup,yes,yes,yes,yes
fettucine,yes,yes,yes,no
kidney beans,yes,yes,yes,yes
cream of tartar,yes,yes,yes,yes
asian fish sauce,no,no,yes,yes
chili flakes,yes,yes,yes,yes
wonton wrappers,yes,no,yes,no
shredded cheese,yes,no,no,yes
pecorino romano cheese,yes,no,no,yes
lard,no,no,yes,yes
reduced sodium soy sauce,yes,yes,yes,no
kale,yes,yes,yes,yes
shredded carrots,yes,yes,yes,yes
light coconut milk,yes,yes,yes,yes
roasted peanuts,yes,yes,yes,yes
poblano chiles,yes,yes,yes,yes
olives,yes,yes,yes,yes
plain flour,yes,yes,yes,no
sharp cheddar cheese,yes,no,no,yes
cardamom pods,yes,yes,yes,yes
orange zest,yes,yes,yes,yes
jasmine rice,yes,yes,yes,yes
chicken breast halves,no,no,yes,yes
dry mustard,yes,yes,yes,yes
daikon,yes,yes,yes,yes
chipotle chile,yes,yes,yes,yes
grated orange,yes,yes,yes,yes
mascarpone,yes,no,no,yes
polenta,yes,yes,yes,yes
fresh tomatoes,yes,yes,yes,yes
garbanzo beans,yes,yes,yes,yes
chili sauce,yes,yes,yes,yes
boneless chicken breast,no,no,yes,yes
crème fraîche,yes,no,no,yes
cooked white rice,yes,yes,yes,yes
pecans,yes,yes,yes,yes
peppercorns,yes,yes,yes,yes
